run_id,lambda_acf,lambda_freq,lambda_motif,lambda_cp,lambda_per,mse,acf_dev,spec_dev
acf0p1_freq0p08_mot0p02_cp0p01_per0p01,0.1,0.08,0.02,0.01,0.01,0.155968,0.010376,5.372115
acf0p1_freq0p08_mot0p02_cp0p01_per0p02,0.1,0.08,0.02,0.01,0.02,0.155861,0.012973,5.528479
acf0p1_freq0p08_mot0p02_cp0p02_per0p01,0.1,0.08,0.02,0.02,0.01,0.255029,0.021165,6.068367
acf0p1_freq0p08_mot0p02_cp0p02_per0p02,0.1,0.08,0.02,0.02,0.02,0.167075,0.012232,5.237582
acf0p1_freq0p08_mot0p05_cp0p01_per0p01,0.1,0.08,0.05,0.01,0.01,0.133344,0.012363,5.126387
acf0p1_freq0p08_mot0p05_cp0p01_per0p02,0.1,0.08,0.05,0.01,0.02,0.156532,0.015059,6.149579
acf0p1_freq0p08_mot0p05_cp0p02_per0p01,0.1,0.08,0.05,0.02,0.01,0.12787,0.010993,5.348956
acf0p1_freq0p08_mot0p05_cp0p02_per0p02,0.1,0.08,0.05,0.02,0.02,0.207642,0.041055,5.382513
acf0p1_freq0p08_mot0p1_cp0p01_per0p01,0.1,0.08,0.1,0.01,0.01,0.120344,0.006687,5.564317
acf0p1_freq0p08_mot0p1_cp0p01_per0p02,0.1,0.08,0.1,0.01,0.02,0.135383,0.011374,6.055075
acf0p1_freq0p08_mot0p1_cp0p02_per0p01,0.1,0.08,0.1,0.02,0.01,0.13174,0.006945,5.343503
acf0p1_freq0p08_mot0p1_cp0p02_per0p02,0.1,0.08,0.1,0.02,0.02,0.126332,0.01305,5.039946
acf0p1_freq0p12_mot0p02_cp0p01_per0p01,0.1,0.12,0.02,0.01,0.01,0.163672,0.035478,5.447288
acf0p1_freq0p12_mot0p02_cp0p01_per0p02,0.1,0.12,0.02,0.01,0.02,0.150557,0.013031,5.243844
acf0p1_freq0p12_mot0p02_cp0p02_per0p01,0.1,0.12,0.02,0.02,0.01,0.193471,0.015311,5.180839
acf0p1_freq0p12_mot0p02_cp0p02_per0p02,0.1,0.12,0.02,0.02,0.02,0.151307,0.013557,5.093395
acf0p1_freq0p12_mot0p05_cp0p01_per0p01,0.1,0.12,0.05,0.01,0.01,0.232727,0.02727,5.149471
acf0p1_freq0p12_mot0p05_cp0p01_per0p02,0.1,0.12,0.05,0.01,0.02,0.233363,0.016267,6.022775
acf0p1_freq0p12_mot0p05_cp0p02_per0p01,0.1,0.12,0.05,0.02,0.01,0.187345,0.020631,6.841942
acf0p1_freq0p12_mot0p05_cp0p02_per0p02,0.1,0.12,0.05,0.02,0.02,0.16164,0.025557,4.87612
acf0p1_freq0p12_mot0p1_cp0p01_per0p01,0.1,0.12,0.1,0.01,0.01,0.171021,0.010416,5.992082
acf0p1_freq0p12_mot0p1_cp0p01_per0p02,0.1,0.12,0.1,0.01,0.02,0.182439,0.013584,5.470625
acf0p1_freq0p12_mot0p1_cp0p02_per0p01,0.1,0.12,0.1,0.02,0.01,0.157612,0.009599,5.898106
acf0p1_freq0p12_mot0p1_cp0p02_per0p02,0.1,0.12,0.1,0.02,0.02,0.139486,0.012292,4.807058
acf0p1_freq0p2_mot0p02_cp0p01_per0p01,0.1,0.2,0.02,0.01,0.01,0.260707,0.026219,5.527264
acf0p1_freq0p2_mot0p02_cp0p01_per0p02,0.1,0.2,0.02,0.01,0.02,0.214257,0.01782,5.772017
acf0p1_freq0p2_mot0p02_cp0p02_per0p01,0.1,0.2,0.02,0.02,0.01,0.214674,0.015329,5.067205
acf0p1_freq0p2_mot0p02_cp0p02_per0p02,0.1,0.2,0.02,0.02,0.02,0.145619,0.024427,5.092728
acf0p1_freq0p2_mot0p05_cp0p01_per0p01,0.1,0.2,0.05,0.01,0.01,0.193841,0.017277,6.470462
acf0p1_freq0p2_mot0p05_cp0p01_per0p02,0.1,0.2,0.05,0.01,0.02,0.222918,0.022193,5.539433
acf0p1_freq0p2_mot0p05_cp0p02_per0p01,0.1,0.2,0.05,0.02,0.01,0.181533,0.021013,4.636534
acf0p1_freq0p2_mot0p05_cp0p02_per0p02,0.1,0.2,0.05,0.02,0.02,0.38394,0.040851,6.916237
acf0p1_freq0p2_mot0p1_cp0p01_per0p01,0.1,0.2,0.1,0.01,0.01,0.283344,0.027546,5.434811
acf0p1_freq0p2_mot0p1_cp0p01_per0p02,0.1,0.2,0.1,0.01,0.02,0.16231,0.008935,2.726318
acf0p1_freq0p2_mot0p1_cp0p02_per0p01,0.1,0.2,0.1,0.02,0.01,0.181393,0.015292,4.883134
acf0p1_freq0p2_mot0p1_cp0p02_per0p02,0.1,0.2,0.1,0.02,0.02,0.195053,0.021478,6.517337
acf0p2_freq0p08_mot0p02_cp0p01_per0p01,0.2,0.08,0.02,0.01,0.01,0.167982,0.010816,5.699367
acf0p2_freq0p08_mot0p02_cp0p01_per0p02,0.2,0.08,0.02,0.01,0.02,0.21974,0.01737,6.03114
acf0p2_freq0p08_mot0p02_cp0p02_per0p01,0.2,0.08,0.02,0.02,0.01,0.134715,0.020457,4.930901
acf0p2_freq0p08_mot0p02_cp0p02_per0p02,0.2,0.08,0.02,0.02,0.02,0.190325,0.017401,6.456364
acf0p2_freq0p08_mot0p05_cp0p01_per0p01,0.2,0.08,0.05,0.01,0.01,0.186261,0.011996,5.353025
acf0p2_freq0p08_mot0p05_cp0p01_per0p02,0.2,0.08,0.05,0.01,0.02,0.113284,0.005719,4.501824
acf0p2_freq0p08_mot0p05_cp0p02_per0p01,0.2,0.08,0.05,0.02,0.01,0.129067,0.011495,5.372646
acf0p2_freq0p08_mot0p05_cp0p02_per0p02,0.2,0.08,0.05,0.02,0.02,0.10964,0.008912,5.606191
acf0p2_freq0p08_mot0p1_cp0p01_per0p01,0.2,0.08,0.1,0.01,0.01,0.154049,0.011349,6.237249
acf0p2_freq0p08_mot0p1_cp0p01_per0p02,0.2,0.08,0.1,0.01,0.02,0.133129,0.008894,5.172706
acf0p2_freq0p08_mot0p1_cp0p02_per0p01,0.2,0.08,0.1,0.02,0.01,0.37495,0.021041,4.34167
acf0p2_freq0p08_mot0p1_cp0p02_per0p02,0.2,0.08,0.1,0.02,0.02,0.173212,0.01378,5.610411
acf0p2_freq0p12_mot0p02_cp0p01_per0p01,0.2,0.12,0.02,0.01,0.01,0.159641,0.010109,5.651821
